frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
49,2,[1462.1512451171875 934.0892333984375 1963.3255615234375 1388.61572265625],car,[1645.281005859375 1256.115966796875 1782.749755859375 1302.117431640625],0.7974666953086853,HLEINSU,0.2653292028599346
49,3,[733.2662963867188 776.2568969726562 1152.2030029296875 1090.0413818359375],car,[875.015869140625 978.1072998046875 1009.81494140625 1015.1119384765625],0.26833733916282654,GX15OGJ,0.47071055986859134
50,2,[1463.3150634765625 939.578369140625 1966.0494384765625 1395.4400634765625],car,[1641.690673828125 1260.942626953125 1787.650634765625 1310.547119140625],0.6775421500205994,DESISU,0.056861908515306044
51,2,[1463.8624267578125 944.0259399414062 1968.02734375 1401.4561767578125],car,[1648.1090087890625 1270.76123046875 1790.4483642578125 1315.50439453125],0.27968674898147583,MSIAW,0.06934520491745284
52,2,[1464.4852294921875 947.5531005859375 1968.5732421875 1405.5828857421875],car,[1650.135498046875 1272.09619140625 1787.604248046875 1317.380859375],0.40593114495277405,LESIEU,0.05877298049696641
54,2,[1465.84326171875 959.251220703125 1976.548828125 1419.37158203125],car,[1654.148681640625 1285.966552734375 1793.094482421875 1330.644775390625],0.5282332897186279,None,0.0
55,2,[1466.56494140625 961.3252563476562 1979.004150390625 1423.698486328125],car,[1650.2772216796875 1288.02294921875 1795.9197998046875 1335.83642578125],0.35768428444862366,WUGREU,0.01508714317336945
57,3,[718.869384765625 800.5162963867188 1145.7086181640625 1121.0609130859375],car,[853.6190795898438 1002.2747802734375 997.1950073242188 1043.2698974609375],0.2532590329647064,GX15OGJ,0.7732676421854827
60,2,[1470.4620361328125 979.6187133789062 1991.2520751953125 1433.525146484375],car,[1659.913330078125 1317.754638671875 1805.160400390625 1364.052001953125],0.38564983010292053,MESV,0.24801494181156158
62,2,[1473.09228515625 986.3121337890625 1996.00634765625 1434.693115234375],car,[1664.60546875 1329.1761474609375 1809.7421875 1376.3226318359375],0.44181719422340393,MISU,0.14756231009960175
67,3,[701.1651611328125 825.9725952148438 1140.970703125 1155.578369140625],car,[847.3299560546875 1031.377685546875 991.3526611328125 1073.038330078125],0.6368421912193298,GX15OGJ,0.6146863483990249
68,2,[1476.56103515625 1012.1366577148438 2020.240234375 1436.4453125],car,[1679.3375244140625 1369.6260986328125 1820.4627685546875 1411.0245361328125],0.3512217402458191,MVSNSV,0.0737896112658525
69,2,[1476.6046142578125 1017.6953125 2022.1256103515625 1436.21923828125],car,[1683.668212890625 1375.249267578125 1821.919677734375 1416.039306640625],0.3420836925506592,MU51NEV,0.042786128382921514
79,3,[677.5470581054688 862.3440551757812 1131.6761474609375 1204.661865234375],car,[840.2879638671875 1087.703125 974.2186279296875 1123.48095703125],0.3344196081161499,GXISGJ,0.3411758520600379
89,3,[655.0872802734375 891.6190795898438 1126.614990234375 1251.5562744140625],car,[794.14013671875 1125.0362548828125 963.554931640625 1169.9591064453125],0.2613614797592163,GX15OGJ,0.2371714532316975
95,3,[639.1002197265625 913.0181884765625 1122.7210693359375 1281.034423828125],car,[817.3763427734375 1154.772216796875 960.9927978515625 1196.46728515625],0.6384760141372681,GX15OGJ,0.2557517586124466
96,3,[637.0048828125 921.8917846679688 1121.64990234375 1286.2969970703125],car,[797.2970581054688 1157.755615234375 956.5565795898438 1198.011962890625],0.5880782604217529,GX15OGJ,0.5584706572727138
97,3,[636.931396484375 924.6986083984375 1121.728515625 1289.4906005859375],car,[809.4957885742188 1161.23046875 955.1007690429688 1200.6689453125],0.52582848072052,GX15OGJ,0.6530789932682707
98,3,[634.7601928710938 928.0216064453125 1121.02734375 1296.2567138671875],car,[801.1429443359375 1164.610595703125 957.5343017578125 1213.077392578125],0.632713794708252,GX15OCJ,0.5085348830391794
101,3,[628.990234375 933.40478515625 1120.1246337890625 1312.449951171875],car,[802.5789794921875 1191.4620361328125 946.6485595703125 1229.3370361328125],0.2524533271789551,GX15OCJ,0.6077026006228142
102,3,[626.5892333984375 932.656494140625 1119.263427734375 1317.2764892578125],car,[807.49951171875 1196.862548828125 949.62841796875 1231.537353515625],0.31835806369781494,GX15OGJ,0.402708417040575
105,3,[619.681884765625 934.0513305664062 1116.674072265625 1336.04150390625],car,[779.8106689453125 1203.782470703125 936.7550048828125 1246.066162109375],0.2944701015949249,GX15OGJ,0.4371639720660513
107,3,[615.1074829101562 959.5651245117188 1115.0396728515625 1345.9661865234375],car,[789.123779296875 1217.7808837890625 931.5986328125 1255.8250732421875],0.8178712725639343,GX15OCJ,0.47742708713881915
108,3,[611.0424194335938 969.2639770507812 1113.943603515625 1352.954345703125],car,[775.8475341796875 1218.241943359375 939.7579345703125 1260.000732421875],0.43353432416915894,GX15OGJ,0.5992595000678772
